City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
149,Davila,PH,2022-02-14 15:34:24,18.4726,120.5763,76.98,83,47,25.46
150,Hammerfest,NO,2022-02-14 15:33:21,70.6634,23.6821,32.45,69,40,26.46
151,Yeppoon,AU,2022-02-14 15:34:24,-23.1333,150.7333,71.38,82,77,21.61
152,San Carlos De Bariloche,AR,2022-02-14 15:34:25,-41.1456,-71.3082,71.35,35,0,20.71
153,Chandler,US,2022-02-14 15:32:11,33.3062,-111.8412,64.81,35,0,0.0
154,Mednogorsk,RU,2022-02-14 15:34:25,51.4128,57.595,-1.19,100,89,3.49
155,Tiksi,RU,2022-02-14 15:31:49,71.6872,128.8694,-15.86,93,3,5.28
156,Sayyan,YE,2022-02-14 15:34:26,15.1718,44.3244,58.78,40,0,2.64
157,Sola,VU,2022-02-14 15:34:27,-13.8833,167.55,81.52,77,100,15.7
158,Ruteng,ID,2022-02-14 15:34:27,-8.6136,120.4721,62.76,94,66,1.12
159,Khandbari,NP,2022-02-14 15:34:27,27.3747,87.2039,54.81,77,59,2.68
160,Ourossogui,SN,2022-02-14 15:34:28,15.6064,-13.3211,95.0,14,0,4.61
161,Bandarbeyla,SO,2022-02-14 15:34:28,9.4942,50.8122,76.68,68,26,20.13
162,Ballina,AU,2022-02-14 15:32:22,-28.8667,153.5667,68.18,96,100,6.91
163,Marabba,SD,2022-02-14 15:34:29,12.35,32.1833,88.43,12,1,10.69
164,Saskylakh,RU,2022-02-14 15:32:11,71.9167,114.0833,-16.2,96,42,4.7
165,Los Llanos De Aridane,ES,2022-02-14 15:34:30,28.6585,-17.9182,62.13,81,100,10.36
166,Port Hardy,CA,2022-02-14 15:31:01,50.6996,-127.4199,41.76,100,75,5.75
167,Novaya Zaimka,RU,2022-02-14 15:34:30,56.4857,66.9241,-4.95,100,54,5.93
168,Provideniya,RU,2022-02-14 15:31:35,64.3833,-173.3,-12.26,92,25,12.28
169,Somotillo,NI,2022-02-14 15:34:31,13.0433,-86.9064,86.32,33,83,11.48
170,Okha,RU,2022-02-14 15:31:45,53.5739,142.9478,-10.52,98,51,12.93
171,Yanam,IN,2022-02-14 15:34:31,16.7333,82.2167,71.87,66,11,5.59
172,Beloha,MG,2022-02-14 15:34:32,-25.1667,45.05,82.45,53,3,7.83
173,Lublin,PL,2022-02-14 15:34:32,51.0,23.0,42.39,74,0,10.45
174,Caravelas,BR,2022-02-14 15:32:56,-17.7125,-39.2481,86.77,57,30,12.12
175,Fort Saint James,CA,2022-02-14 15:34:33,54.4333,-124.25,32.09,99,100,2.51
176,Aras,ES,2022-02-14 15:34:33,42.5617,-2.356,46.83,71,40,19.57
177,Fortuna,US,2022-02-14 15:29:29,40.5982,-124.1573,46.74,94,100,0.0
178,Karla,EE,2022-02-14 15:34:34,59.3723,24.9275,35.98,87,75,13.8
179,Paragominas,BR,2022-02-14 15:34:34,-2.9667,-47.4833,81.99,74,72,5.55
180,Ribeira Grande,PT,2022-02-14 15:32:51,38.5167,-28.7,63.0,67,75,4.61
181,Waipawa,NZ,2022-02-14 15:32:25,-41.4122,175.5153,56.03,86,38,3.38
182,Arrah,IN,2022-02-14 15:34:35,25.5667,84.6667,57.09,57,0,3.62
183,Sinjar,IQ,2022-02-14 15:34:35,36.3209,41.8754,53.53,53,0,8.61
184,Codrington,AU,2022-02-14 15:31:20,-38.2667,141.9667,57.69,84,6,10.07
185,Dudinka,RU,2022-02-14 15:34:36,69.4058,86.1778,-16.08,96,50,5.08
186,Benjamin Aceval,PY,2022-02-14 15:34:36,-24.9667,-57.5667,89.74,28,5,3.4
187,Murbad,IN,2022-02-14 15:34:36,19.25,73.4,79.81,34,0,1.7
188,Lenger,KZ,2022-02-14 15:34:37,42.183,69.8839,27.84,93,100,8.03
189,Bakau,GM,2022-02-14 15:33:34,13.4781,-16.6819,95.14,16,70,10.36
190,Jumla,NP,2022-02-14 15:34:38,29.2747,82.1838,31.06,79,7,6.58
191,Pokhara,NP,2022-02-14 15:34:38,28.2333,83.9833,55.36,80,82,1.32
192,Ocos,GT,2022-02-14 15:34:39,14.5094,-92.1933,89.73,59,6,5.19
193,Bathsheba,BB,2022-02-14 15:34:39,13.2167,-59.5167,84.81,54,20,19.57
194,Mount Gambier,AU,2022-02-14 15:31:20,-37.8333,140.7667,53.51,94,2,9.22
195,Roma,US,2022-02-14 15:32:27,43.2128,-75.4557,12.13,54,0,8.99
196,Sorland,NO,2022-02-14 15:34:40,67.667,12.6934,31.86,80,40,14.97
197,Aquiraz,BR,2022-02-14 15:32:36,-3.9014,-38.3911,87.89,63,19,11.41
198,Muscatine,US,2022-02-14 15:34:40,41.4667,-91.1335,22.08,69,100,8.05
199,Asosa,ET,2022-02-14 15:34:41,10.0667,34.5333,79.03,20,68,6.71
200,Mogadishu,SO,2022-02-14 15:34:41,2.0371,45.3438,78.03,79,100,20.51
201,Hauterive,FR,2022-02-14 15:34:42,46.0901,3.4459,52.56,75,98,6.46
202,Oktyabrskoye,RU,2022-02-14 15:34:42,43.0645,44.7417,30.34,80,75,11.18
203,Shumikha,RU,2022-02-14 15:34:42,55.2261,63.2961,7.97,97,97,6.96
204,Salinas,US,2022-02-14 15:31:45,36.6777,-121.6555,55.58,85,100,5.75
205,Gat,IL,2022-02-14 15:32:03,31.61,34.7642,58.41,74,31,3.65
206,Port Augusta,AU,2022-02-14 15:34:43,-32.5,137.7667,80.71,59,100,12.77
207,Saint-Nazaire,FR,2022-02-14 15:34:43,47.2833,-2.2,53.87,68,75,9.22
208,Hofn,IS,2022-02-14 15:34:44,64.2539,-15.2082,30.22,86,100,8.05
209,Carutapera,BR,2022-02-14 15:34:44,-1.195,-46.02,80.08,89,92,9.13
210,Jibuti,DJ,2022-02-14 15:34:44,11.5,42.5,74.62,63,45,14.36
211,Santa Cruz,BO,2022-02-14 15:34:21,-17.8,-63.1667,84.25,58,75,9.22
212,Coihaique,CL,2022-02-14 15:34:45,-45.5752,-72.0662,68.61,21,40,8.05
213,Ternate,ID,2022-02-14 15:32:50,0.8,127.4,79.86,80,100,3.69
214,Baykalsk,RU,2022-02-14 15:34:46,51.5058,104.1469,-6.81,89,99,5.37
215,Yulara,AU,2022-02-14 15:34:46,-25.2406,130.9889,80.44,24,3,8.05
216,Hithadhoo,MV,2022-02-14 15:31:27,-0.6,73.0833,82.54,71,71,12.41
217,Rio Gallegos,AR,2022-02-14 15:29:55,-51.6226,-69.2181,57.25,33,0,17.27
218,Torrington,US,2022-02-14 15:34:47,41.8007,-73.1212,19.69,43,0,10.0
219,Bathurst,AU,2022-02-14 15:32:29,-33.4166,149.5806,60.82,92,2,2.98
220,Along,IN,2022-02-14 15:34:47,28.1667,94.7667,50.04,60,0,2.51
221,Suraabad,AZ,2022-02-14 15:34:49,40.8192,49.4687,42.98,71,100,18.34
222,Tuatapere,NZ,2022-02-14 15:32:10,-46.1333,167.6833,49.82,90,99,2.37
223,Port Lincoln,AU,2022-02-14 15:32:29,-34.7333,135.8667,64.26,81,97,14.5
224,Pevek,RU,2022-02-14 15:31:11,69.7008,170.3133,-22.52,99,100,6.44
225,Muchkapskiy,RU,2022-02-14 15:34:49,51.8513,42.4717,20.5,90,34,9.66
226,Warwick,US,2022-02-14 15:34:50,41.7001,-71.4162,24.31,68,40,14.97
227,Akyab,MM,2022-02-14 15:34:50,20.15,92.9,68.63,62,7,11.34
228,Maragogi,BR,2022-02-14 15:32:46,-9.0122,-35.2225,85.66,63,21,11.5
229,Mahebourg,MU,2022-02-14 15:31:17,-20.4081,57.7,82.69,83,75,11.5
230,Corrente,BR,2022-02-14 15:34:52,-3.7367,-43.3394,90.81,46,74,4.97
231,Najran,SA,2022-02-14 15:34:52,17.4924,44.1277,70.45,27,14,8.59
232,Zhuhai,CN,2022-02-14 15:34:53,22.2769,113.5678,63.99,82,20,8.05
233,Morehead,US,2022-02-14 15:34:53,37.2711,-87.1764,29.14,74,100,0.0
234,Merauke,ID,2022-02-14 15:34:54,-8.4667,140.3333,79.16,83,74,9.95
235,Mandalgovi,MN,2022-02-14 15:31:19,45.7625,106.2708,-5.1,98,20,1.01
236,Nizhyn,UA,2022-02-14 15:34:54,51.048,31.8869,25.29,81,4,8.14
237,Nantucket,US,2022-02-14 15:34:10,41.2835,-70.0995,26.71,82,100,19.57
238,Wauconda,US,2022-02-14 15:34:55,42.2589,-88.1393,16.52,70,55,4.0
239,Padalarang,ID,2022-02-14 15:33:07,-6.8378,107.4728,72.07,89,100,1.9
240,Kuching,MY,2022-02-14 15:32:16,1.55,110.3333,75.42,94,40,0.0
241,Deputatskiy,RU,2022-02-14 15:34:55,69.3,139.9,-24.14,97,13,6.02
242,Sibanicu,CU,2022-02-14 15:34:56,21.235,-77.5264,72.05,74,56,14.54
243,Kaitangata,NZ,2022-02-14 15:34:56,-46.2817,169.8464,50.04,83,100,3.87
244,Tura,IN,2022-02-14 15:33:05,25.5198,90.2201,58.64,58,0,3.53
245,Fuxin,CN,2022-02-14 15:34:57,42.0156,121.6589,6.48,79,24,4.7
246,Tautira,PF,2022-02-14 15:34:57,-17.7333,-149.15,77.02,76,38,16.46
247,Tazovskiy,RU,2022-02-14 15:34:58,67.4667,78.7,-10.71,98,85,10.94
248,Tygda,RU,2022-02-14 15:34:59,53.1167,126.3333,-1.73,95,97,3.85
249,Sinnamary,GF,2022-02-14 15:32:06,5.3833,-52.95,79.52,84,10,11.16
250,Kudat,MY,2022-02-14 15:34:59,6.8837,116.8477,80.53,89,20,3.44
251,Svarstad,NO,2022-02-14 15:34:59,59.399,9.9698,37.71,57,100,3.0
252,Sorong,ID,2022-02-14 15:35:00,-0.8833,131.25,77.68,86,100,5.5
253,Raudeberg,NO,2022-02-14 15:35:00,61.9875,5.1352,39.87,79,75,20.0
254,Padang,ID,2022-02-14 15:35:01,-0.9492,100.3543,77.05,84,73,4.34
255,Conop,RO,2022-02-14 15:35:01,46.1,21.8833,51.42,70,8,3.33
256,Sulangan,PH,2022-02-14 15:35:02,11.1373,123.7228,79.79,81,55,13.65
257,Naro,IT,2022-02-14 15:35:02,37.2935,13.7936,55.9,78,35,6.33
258,Hirado,JP,2022-02-14 15:35:03,33.3597,129.5531,49.39,55,21,19.28
259,Guerrero Negro,MX,2022-02-14 15:35:03,27.9769,-114.0611,69.28,37,0,2.1
260,Neuquen,AR,2022-02-14 15:30:24,-38.9516,-68.0591,87.69,27,0,8.05
261,Edd,ER,2022-02-14 15:35:03,13.9297,41.6925,82.11,59,11,14.72
262,Torbay,CA,2022-02-14 15:35:04,47.6666,-52.7314,27.75,92,100,24.16
263,Luderitz,NA,2022-02-14 15:31:37,-26.6481,15.1594,72.09,74,5,7.45
264,Port Hedland,AU,2022-02-14 15:35:05,-20.3167,118.5667,87.85,66,23,10.36
265,Batemans Bay,AU,2022-02-14 15:30:33,-35.7167,150.1833,70.11,87,1,4.68
266,Nanyuki,KE,2022-02-14 15:35:06,0.0167,37.0728,65.44,55,91,10.67
267,Cayenne,GF,2022-02-14 15:30:05,4.9333,-52.3333,79.09,90,100,3.44
268,Talnakh,RU,2022-02-14 15:35:06,69.4865,88.3972,-9.85,74,55,7.29
269,Tommot,RU,2022-02-14 15:32:30,58.9564,126.2925,-18.06,100,97,1.61
270,Ostrovnoy,RU,2022-02-14 15:31:40,68.0531,39.5131,21.56,85,100,12.71
271,Palana,RU,2022-02-14 15:35:07,59.1167,159.9667,-2.7,89,100,8.75
272,Airai,TL,2022-02-14 15:32:35,-8.9266,125.4092,59.16,93,87,2.84
273,High Rock,BS,2022-02-14 15:35:08,26.6208,-78.2833,66.22,58,0,22.3
274,Arman,RU,2022-02-14 15:35:08,59.7,150.1667,-10.98,78,100,10.45
275,Ndungu,TZ,2022-02-14 15:35:08,-4.3667,38.05,74.08,87,100,1.86
276,Porosozero,RU,2022-02-14 15:35:09,62.7191,32.727,31.64,98,100,7.92
277,Hermiston,US,2022-02-14 15:31:14,45.8404,-119.2895,49.1,87,100,5.75
278,Healesville,AU,2022-02-14 15:35:10,-37.65,145.5167,67.96,92,58,1.48
